014160;951.11%
000400;993.06%
012280;1309.01%
018470;636.87%
138490;806.96%
020120;3804.19%
000970;512.83%
027390;550.35%
083470;1494.62%
099410;583.01%
038390;616.13%
016100;548.82%
010280;560.25%
090740;1745.78%
045060;509.14%
138080;714.23%
004650;1265.39%
069110;1093.39%
266170;1307.55%
299480;534.44%
001060;649.28%
082640;612.05%
002410;571.5%
000890;10223.36%
004430;545.6%
003560;2328.13%
002920;516.22%
214420;1000.87%
084870;1752.56%
006060;555.52%
297570;802.18%
024840;880.6%
118990;1432.35%
